interaction_id,target_distinction,R00,R10,R01,R11,classification
I01,temporal_order,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,NO_EXHAUSTION_LEXICAL_SUBSTITUTION_SURVIVES
I02,claim_binding,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,NO_EXHAUSTION_LEXICAL_SUBSTITUTION_SURVIVES
I03,evidence_relation,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,E/D0/B_STRUCTURED_METADATA,R/D1/B_LEXICAL_CUE,NO_EXHAUSTION_LEXICAL_SUBSTITUTION_SURVIVES
